Date,is_v2b,is_v3,is_v3f,oos_v2b,oos_v3,oos_v3f
2010-01-04,100.0,100.0,100.0,,,
2010-01-05,100.01170922369616,100.16983235437746,100.16983235437746,,,
2010-01-06,100.67646003544462,100.63065818630935,100.63065818630935,,,
2010-01-07,100.41527164312704,100.3941621112257,100.3941621112257,,,
2010-01-08,100.5335174399991,100.62671195260069,100.62671195260069,,,
2010-01-11,100.55738761227684,100.66535394625302,100.66535394625302,,,
2010-01-12,99.50378449064193,99.59810915894877,99.59810915894877,,,
2010-01-13,99.82328563189576,99.95874632500879,99.95874632500879,,,
2010-01-14,99.77474353860558,99.99560227549442,99.99560227549442,,,
2010-01-15,99.06474301931496,99.27022269880014,99.27022269880014,,,
2010-01-19,100.01464006671358,100.04364529864269,100.04364529864269,,,
2010-01-20,98.49695463688332,98.81751439559511,98.81751439559511,,,
2010-01-21,97.03562938678364,97.67018196221676,97.67018196221676,,,
2010-01-22,95.75282271776858,96.71666218474728,96.71666218474728,,,
2010-01-25,95.83166804846022,96.96037534280327,96.96037534280327,,,
2010-01-26,95.86485671665284,96.47149295913874,96.47149295913874,,,
2010-01-27,95.48246676923134,96.23433141626248,96.23433141626248,,,
2010-01-28,95.48292453942088,95.7297947020355,95.7297947020355,,,
2010-01-29,95.33310757998953,95.22779011412716,95.22779011412716,,,
2010-02-01,96.17676074499968,96.31062466386544,96.31062466386544,,,
2010-02-02,96.46209073004815,97.04075434623348,97.04075434623348,,,
2010-02-03,96.27991030554499,96.59003582127569,96.59003582127569,,,
2010-02-04,94.77639022822181,94.58264490479057,94.58264490479057,,,
2010-02-05,94.946774432775,94.43648048375283,94.43648048375283,,,
2010-02-08,94.6873638707785,94.0566565899688,94.0566565899688,,,
2010-02-09,95.14810455033438,94.93478039856504,94.93478039856504,,,
2010-02-10,95.00207932626678,94.82200330742252,94.82200330742252,,,
2010-02-11,95.74487865628993,95.66860993764728,95.66860993764728,,,
2010-02-12,95.74309049452107,95.52510732255354,95.52510732255354,,,
2010-02-16,96.67080396348214,96.79584239909079,96.79584239909079,,,
2010-02-17,96.50634406576948,96.81631100625393,96.81631100625393,,,
2010-02-18,96.74458313322404,97.16392108870815,97.16392108870815,,,
2010-02-19,96.54740869414468,97.16474966925843,97.16474966925843,,,
2010-02-22,96.42020158216238,97.0516583717036,97.0516583717036,,,
2010-02-23,96.03630339559828,96.30730890269366,96.30730890269366,,,
2010-02-24,95.86785314598954,96.69379772316074,96.69379772316074,,,
2010-02-25,96.23542550599595,96.48174552050766,96.48174552050766,,,
2010-02-26,96.64427823631536,96.9643068163054,96.9643068163054,,,
2010-03-01,96.6373599292513,97.34615182848334,97.34615182848334,,,
2010-03-02,97.19904958342926,97.88533345051228,97.88533345051228,,,
2010-03-03,97.4099498925298,98.15347825477116,98.15347825477116,,,
2010-03-04,97.11343177509464,98.01839004227986,98.01839004227986,,,
2010-03-05,97.07347037322454,98.77242251112207,98.77242251112207,,,
2010-03-08,96.72895598198242,98.64257973681768,98.64257973681768,,,
2010-03-09,96.70081832359074,98.59084421198789,98.59084421198789,,,
