date,regime,confidence,growth_score,inflation_score
2007-01-22,TRANSITIONING,,50.16181146572104,
2007-01-23,TRANSITIONING,,50.47340745024046,
2007-01-24,TRANSITIONING,,50.94818180107982,
2007-01-25,TRANSITIONING,,52.1985875482617,
2007-01-26,TRANSITIONING,,52.16583570750238,
2007-01-27,TRANSITIONING,,62.48881958235278,
2007-01-28,TRANSITIONING,,62.472340885929285,
2007-01-29,TRANSITIONING,,61.54771539413433,
2007-01-30,TRANSITIONING,,61.74690147201778,
2007-01-31,TRANSITIONING,,61.12650241199632,
2007-02-01,TRANSITIONING,,60.204966155546344,
2007-02-02,TRANSITIONING,,59.964925378703725,
2007-02-03,TRANSITIONING,,59.11201463037015,
2007-02-04,TRANSITIONING,,59.100113643826546,
2007-02-05,TRANSITIONING,,58.99989291849502,
2007-02-06,TRANSITIONING,,58.832395974469755,
2007-02-07,TRANSITIONING,,58.306328419640266,
2007-02-08,TRANSITIONING,,58.14886415077066,
2007-02-09,TRANSITIONING,,58.649361922799415,
2007-02-10,TRANSITIONING,,48.80244358651304,
2007-02-11,TRANSITIONING,,48.8040060112599,
2007-02-12,TRANSITIONING,,48.31810219419011,
2007-02-13,TRANSITIONING,,50.11972660695398,
2007-02-14,TRANSITIONING,,49.575163098665996,
2007-02-15,TRANSITIONING,,51.30160188959038,
2007-02-16,TRANSITIONING,,50.733262755843406,
2007-02-17,TRANSITIONING,,55.6059323624767,
2007-02-18,TRANSITIONING,,55.59874058911286,
2007-02-19,TRANSITIONING,,55.59156724452354,
2007-02-20,TRANSITIONING,,55.468879523689765,
2007-02-21,TRANSITIONING,,55.16167726845477,
2007-02-22,TRANSITIONING,,57.10238072266566,
2007-02-23,TRANSITIONING,,58.20691863702003,
2007-02-24,TRANSITIONING,,57.75059993004206,
2007-02-25,TRANSITIONING,,57.74073497083312,
2007-02-26,TRANSITIONING,,57.6597698265606,
2007-02-27,TRANSITIONING,,57.65534652527523,
2007-02-28,TRANSITIONING,,56.93090052817516,
2007-03-01,TRANSITIONING,,59.47148150527961,
2007-03-02,TRANSITIONING,,60.755447720099966,
2007-03-03,TRANSITIONING,,61.77300430464987,
2007-03-04,TRANSITIONING,,61.75815009015358,
2007-03-05,TRANSITIONING,,59.43377944007666,
2007-03-06,TRANSITIONING,,59.88744411927213,
2007-03-07,TRANSITIONING,,60.72619605162673,
2007-03-08,TRANSITIONING,,59.73474559998317,
2007-03-09,TRANSITIONING,,60.29938749721876,
2007-03-10,TRANSITIONING,,65.61607226515369,
2007-03-11,TRANSITIONING,,65.59654866332498,
2007-03-12,TRANSITIONING,,66.71704044329236,
2007-03-13,TRANSITIONING,,64.19723088113051,
2007-03-14,TRANSITIONING,,63.29628048998527,
2007-03-15,TRANSITIONING,,64.30738555766472,
2007-03-16,TRANSITIONING,,64.26159278482089,
2007-03-17,TRANSITIONING,,63.664907986946986,
2007-03-18,TRANSITIONING,,63.64797540157166,
2007-03-19,TRANSITIONING,,63.6590003603338,
2007-03-20,TRANSITIONING,,62.141703797989265,
2007-03-21,TRANSITIONING,,63.37981298129813,
2007-03-22,TRANSITIONING,,62.942014086288815,
2007-03-23,TRANSITIONING,,62.95385574408562,
2007-03-24,TRANSITIONING,,64.8751939430615,
2007-03-25,TRANSITIONING,,64.85692196899093,
2007-03-26,TRANSITIONING,,65.48137625548034,
2007-03-27,TRANSITIONING,,65.04983258659729,
2007-03-28,TRANSITIONING,,65.30237439082083,
2007-03-29,TRANSITIONING,,65.87905200792623,
2007-03-30,TRANSITIONING,,65.7852031689241,
2007-03-31,TRANSITIONING,,65.05456994056493,
2007-04-01,TRANSITIONING,,66.99421028288263,
2007-04-02,TRANSITIONING,,67.1229254445829,
2007-04-03,TRANSITIONING,,68.17499724969647,
2007-04-04,TRANSITIONING,,67.957274762006,
2007-04-05,TRANSITIONING,,67.92639149698688,
2007-04-06,TRANSITIONING,,68.31932902748066,
2007-04-07,TRANSITIONING,,57.998905622122074,
2007-04-08,TRANSITIONING,,57.98924009544864,
2007-04-09,TRANSITIONING,,58.04005739154365,
2007-04-10,TRANSITIONING,,58.02130745203034,
2007-04-11,TRANSITIONING,,58.3765472151941,
2007-04-12,TRANSITIONING,,58.15864177865308,
2007-04-13,TRANSITIONING,,58.64122062784199,
2007-04-14,TRANSITIONING,,59.88984533527025,
2007-04-15,TRANSITIONING,,59.877994311497055,
2007-04-16,TRANSITIONING,,61.40593984142829,
2007-04-17,TRANSITIONING,,62.35537527096344,
2007-04-18,TRANSITIONING,,63.533799240996835,
2007-04-19,TRANSITIONING,,64.12995691424953,
2007-04-20,TRANSITIONING,,63.2091785998409,
2007-04-21,TRANSITIONING,,65.6904830741918,
2007-04-22,TRANSITIONING,,65.67183199487238,
2007-04-23,TRANSITIONING,,65.78699452580742,
2007-04-24,TRANSITIONING,,65.7633244588038,
2007-04-25,TRANSITIONING,,65.40163219084653,
2007-04-26,TRANSITIONING,,63.93495176632718,
2007-04-27,TRANSITIONING,,65.50132850832152,
2007-04-28,TRANSITIONING,,73.18743541564446,
2007-04-29,TRANSITIONING,,73.16010826450916,
2007-04-30,TRANSITIONING,,72.90780614132446,
2007-05-01,TRANSITIONING,,74.7864379973767,
2007-05-02,TRANSITIONING,,75.35242796649176,
2007-05-03,TRANSITIONING,,75.43725998285355,
2007-05-04,TRANSITIONING,,75.45147020556857,
2007-05-05,TRANSITIONING,,75.48991062389594,
2007-05-06,TRANSITIONING,,75.46011485259035,
2007-05-07,TRANSITIONING,,74.67307871649822,
2007-05-08,TRANSITIONING,,72.84816170330188,
2007-05-09,TRANSITIONING,,73.1823069981331,
2007-05-10,TRANSITIONING,,72.69010995464483,
2007-05-11,TRANSITIONING,,73.19440219181837,
2007-05-12,TRANSITIONING,,73.77653150236515,
2007-05-13,TRANSITIONING,,73.74896876762179,
2007-05-14,TRANSITIONING,,74.02019376056258,
2007-05-15,TRANSITIONING,,74.08800907351467,
2007-05-16,TRANSITIONING,,75.76639259544379,
2007-05-17,TRANSITIONING,,75.39850613259019,
2007-05-18,TRANSITIONING,,76.18042991241046,
2007-05-19,TRANSITIONING,,72.45830142341465,
2007-05-20,TRANSITIONING,,72.43246905733002,
2007-05-21,TRANSITIONING,,72.16599792927018,
2007-05-22,TRANSITIONING,,72.67408564448662,
2007-05-23,TRANSITIONING,,72.95521248283211,
2007-05-24,TRANSITIONING,,72.26665774428092,
2007-05-25,TRANSITIONING,,73.41244095347189,
2007-05-26,TRANSITIONING,,73.3856936738312,
