Date,is_flowmacro,is_60_40,oos_flowmacro,oos_60_40
2010-01-04,100.0,100.0,,
2010-01-05,100.0,100.41693855752689,,
2010-01-06,100.0,99.9213200656629,,
2010-01-07,100.0,100.24248208335977,,
2010-01-08,99.76,100.42608523971744,,
2010-01-11,99.8118867906382,100.29305703691458,,
2010-01-12,98.24978868648326,100.40167225792835,,
2010-01-13,98.59216940025604,100.44371750934597,,
2010-01-14,98.53792585886865,101.16379180424913,,
2010-01-15,97.33499520483541,100.72899005994387,,
2010-01-19,98.284511980344,101.36604590810263,,
2010-01-20,96.2790949606712,101.15492798354634,,
2010-01-21,94.87149198729325,100.18087599522833,,
2010-01-22,93.60351696922727,98.78992010213156,,
2010-01-25,93.60351696922727,98.90001877303727,,
2010-01-26,93.60351696922727,98.66955913891078,,
2010-01-27,93.60351696922727,98.92293416024246,,
2010-01-28,93.60351696922727,98.23285826011279,,
2010-01-29,93.60351696922727,97.96306703187547,,
2010-02-01,93.60351696922727,98.4757079165961,,
2010-02-02,93.60351696922727,99.29134604611119,,
2010-02-03,93.60351696922727,98.52688323404712,,
2010-02-04,93.60351696922727,97.36806131440044,,
2010-02-05,93.60351696922727,97.57394161275495,,
2010-02-08,93.60351696922727,97.21931474418331,,
2010-02-09,93.60351696922727,97.513839932524,,
2010-02-10,93.60351696922727,97.01435113772517,,
2010-02-11,93.60351696922727,97.38933522104504,,
2010-02-12,93.60351696922727,97.50670772400801,,
2010-02-16,93.60351696922727,98.48364897655595,,
2010-02-17,93.60351696922727,98.29971412802347,,
2010-02-18,93.60351696922727,98.48363443575796,,
2010-02-19,93.60351696922727,98.81968788238666,,
2010-02-22,93.60351696922727,98.66520931218705,,
2010-02-23,93.60351696922727,98.56982825398455,,
2010-02-24,93.60351696922727,99.20330686633224,,
2010-02-25,93.60351696922727,99.35136819982162,,
2010-02-26,93.60351696922727,99.59817598386823,,
2010-03-01,93.60351696922727,100.18983790852465,,
2010-03-02,93.60351696922727,100.30042464961626,,
2010-03-03,93.60351696922727,100.25048867373134,,
2010-03-04,93.60351696922727,100.64556104528064,,
2010-03-05,93.60351696922727,100.96181577556077,,
2010-03-08,93.60351696922727,100.76203432311574,,
2010-03-09,93.60351696922727,100.87173009735912,,
2010-03-10,93.60351696922727,101.03905666927686,,
2010-03-11,93.60351696922727,101.44123016008916,,
2010-03-12,93.60351696922727,101.69716503777289,,
2010-03-15,93.60351696922727,101.65936324555531,,
2010-03-16,93.60351696922727,102.46925918138747,,
2010-03-17,93.60351696922727,103.00955139272997,,
2010-03-18,93.60351696922727,102.84347659129853,,
2010-03-19,93.60351696922727,102.56974699122358,,
2010-03-22,93.60351696922727,102.94447259847868,,
2010-03-23,93.60351696922727,103.1884524113573,,
2010-03-24,93.60351696922727,102.14206410705697,,
2010-03-25,93.60351696922727,101.78582257943789,,
2010-03-26,93.4031530364517,101.86046524067909,,
2010-03-29,93.90872717040496,102.10215240208349,,
2010-03-30,94.03800152897733,102.270025378997,,
2010-03-31,93.81329446856124,102.26259323079707,,
2010-04-01,94.47256011782859,102.58251490173697,,
2010-04-05,95.09318538629282,102.40803232940227,,
2010-04-06,95.25003821197137,102.61916704197476,,
2010-04-07,94.89494563231466,102.7755412200848,,
2010-04-08,95.01186240796918,103.0090391410824,,
2010-04-09,95.38745323513358,103.51457691075736,,
2010-04-12,95.45869862211745,103.82969947681815,,
2010-04-13,95.55432992009992,104.00980847614305,,
2010-04-14,96.50973867189954,104.43478744760282,,
2010-04-15,96.58354489581636,104.5331037371173,,
2010-04-16,95.18675591324526,103.81818887964067,,
2010-04-19,95.18675591324526,103.95353355334645,,
2010-04-20,95.18675591324526,104.66165309122466,,
2010-04-21,95.18675591324526,104.88532462019484,,
2010-04-22,95.18675591324526,104.95054804043826,,
2010-04-23,94.98582201444985,105.21842751724282,,
2010-04-26,94.83538400017851,105.02290093778579,,
2010-04-27,92.98257844130882,104.09881535724783,,
2010-04-28,93.24281301017268,104.21362592387788,,
2010-04-29,94.30736533810732,105.16445088335892,,
2010-04-30,92.89497614150969,104.56986738614636,,
2010-05-03,93.76484042583323,105.32284753032879,,
2010-05-04,91.6318787823284,104.59649296508695,,
2010-05-05,90.92604873614309,104.48213210765982,,
2010-05-06,88.54257007963454,103.77968000365982,,
2010-05-07,87.41909215088094,102.34167233389155,,
2010-05-10,90.84921224508126,104.0024195133989,,
2010-05-11,90.5281015244459,103.71888832530314,,
2010-05-12,91.67004506233725,104.24245407320052,,
2010-05-13,90.83066579666347,103.75685584867342,,
2010-05-14,89.29849817779744,103.39983006319397,,
2010-05-17,89.34715584135738,103.27038286124738,,
2010-05-18,88.26930044498684,103.12378195217728,,
2010-05-19,87.88450731510108,102.93512712078119,,
2010-05-20,85.32970426513315,101.65410885567685,,
2010-05-21,86.18553785682288,102.52403980227444,,
2010-05-24,86.18553785682288,101.63295455767793,,
2010-05-25,86.18553785682288,101.91144290468091,,
2010-05-26,86.18553785682288,101.44162071080139,,
2010-05-27,86.18553785682288,102.29997479643977,,
2010-05-28,86.18553785682288,101.77287513616552,,
2010-06-01,86.18553785682288,101.11924603118129,,
2010-06-02,86.18553785682288,102.16407758479014,,
2010-06-03,86.18553785682288,102.04044337892597,,
2010-06-04,86.18553785682288,101.18042296368881,,
2010-06-07,86.18553785682288,100.82855098943672,,
2010-06-08,86.18553785682288,101.19548112942154,,
2010-06-09,86.18553785682288,100.8455515621067,,
2010-06-10,86.18553785682288,101.66482751517316,,
2010-06-11,86.18553785682288,102.50590845652121,,
2010-06-14,86.18553785682288,102.1859921124478,,
2010-06-15,86.18553785682288,103.30809217375294,,
2010-06-16,86.18553785682288,103.54088668268298,,
2010-06-17,86.18553785682288,103.99988366284009,,
2010-06-18,86.18553785682288,103.98986752804029,,
2010-06-21,86.18553785682288,103.69191518538909,,
2010-06-22,86.18553785682288,103.2570289288287,,
2010-06-23,86.18553785682288,103.38692402821191,,
2010-06-24,86.18553785682288,102.16033280435681,,
2010-06-25,86.18553785682288,102.5821764162645,,
2010-06-28,86.18553785682288,102.83204488600761,,
2010-06-29,86.18553785682288,101.58448477577808,,
2010-06-30,86.18553785682288,101.33968952565075,,
2010-07-01,86.18553785682288,101.16113412921915,,
2010-07-02,86.18553785682288,100.5420619216978,,
2010-07-06,86.18553785682288,101.22711748460496,,
2010-07-07,86.18553785682288,102.45974304800795,,
2010-07-08,86.18553785682288,102.75754299226753,,
2010-07-09,86.18553785682288,102.9515268539112,,
2010-07-12,86.18553785682288,102.97240637846005,,
2010-07-13,86.18553785682288,103.49208426819058,,
2010-07-14,86.18553785682288,103.88256485161745,,
2010-07-15,86.18553785682288,104.29411093832128,,
2010-07-16,86.18553785682288,102.89763480223183,,
2010-07-19,86.18553785682288,102.98199131858688,,
2010-07-20,86.18553785682288,103.66940459091897,,
2010-07-21,86.18553785682288,103.60552505598224,,
2010-07-22,86.18553785682288,104.3939518173516,,
2010-07-23,86.18553785682288,104.46716782602871,,
2010-07-26,86.18553785682288,105.00555058953364,,
2010-07-27,86.18553785682288,104.6165317447167,,
2010-07-28,86.18553785682288,104.36480992950248,,
2010-07-29,86.18553785682288,104.06809682235706,,
2010-07-30,86.18553785682288,104.67316196085335,,
2010-08-02,86.18553785682288,105.42222218705781,,
2010-08-03,86.18553785682288,105.36609527468046,,
2010-08-04,86.18553785682288,105.45670522900008,,
2010-08-05,86.18553785682288,105.5779569180845,,
2010-08-06,86.18553785682288,105.76853676234825,,
2010-08-09,86.18553785682288,105.9365057365099,,
2010-08-10,86.18553785682288,105.69905869385016,,
2010-08-11,86.18553785682288,104.61249728376652,,
2010-08-12,86.18553785682288,104.15897280104353,,
2010-08-13,86.18553785682288,104.49553722023185,,
2010-08-16,86.18553785682288,105.49583228623807,,
2010-08-17,86.18553785682288,105.95648931560386,,
2010-08-18,86.18553785682288,106.17424049331828,,
2010-08-19,86.18553785682288,105.82084165609011,,
2010-08-20,86.18553785682288,105.58822893851128,,
2010-08-23,86.18553785682288,105.38001730433275,,
2010-08-24,86.18553785682288,105.2234361364518,,
2010-08-25,86.18553785682288,105.29928963233655,,
2010-08-26,86.18553785682288,105.32997357524516,,
2010-08-27,86.18553785682288,104.95820554993112,,
2010-08-30,86.18553785682288,104.95104636824743,,
2010-08-31,86.18553785682288,105.42830265244125,,
2010-09-01,86.18553785682288,106.18899228685719,,
2010-09-02,86.18553785682288,106.27101189649623,,
2010-09-03,86.18553785682288,106.49683080017826,,
2010-09-07,86.18553785682288,106.6904602006827,,
2010-09-08,86.18553785682288,106.75862622519831,,
2010-09-09,86.18553785682288,106.1948937465724,,
2010-09-10,86.18553785682288,106.30108720149293,,
2010-09-13,86.18553785682288,107.15602816602315,,
2010-09-14,86.18553785682288,107.51731042894959,,
